,short_name,long_name,age,dob,height_cm,weight_kg,nationality,Team,League,league_rank,overall,potential,wage_eur,FIFA Position,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,Goals,General_Position,Appearances,Index
599,M. Rashica,Milot Rashica,23,1996-06-28,177,73,Kosovo,SV Werder Bremen,German 1. Bundesliga,1.0,79,85,30000,"LW, CF, RW",Right,1,4,3,High/Medium,90.0,78.0,71.0,83.0,44.0,63.0,7,Midfielder,18,599
600,B. Chilwell,Ben Chilwell,22,1996-12-21,178,77,England,Leicester City,English Premier League,1.0,79,85,70000,LB,Left,1,3,3,High/High,78.0,49.0,71.0,77.0,76.0,75.0,2,Defender,21,600
601,Wesley,Wesley Moraes Ferreira da Silva,22,1996-11-26,191,94,Brazil,Aston Villa,English Premier League,1.0,79,85,60000,ST,Right,1,3,3,High/High,77.0,76.0,68.0,73.0,38.0,88.0,5,Forward,21,601
603,Junior Firpo,Héctor Junior Firpo Adamés,22,1996-08-22,184,78,Spain,FC Barcelona,Spain Primera Division,1.0,79,85,110000,"LB, LM, LWB",Left,1,3,3,Medium/Medium,85.0,64.0,72.0,74.0,75.0,76.0,1,Defender,10,603
604,J. Ward-Prowse,James Ward-Prowse,24,1994-11-01,173,66,England,Southampton,English Premier League,1.0,79,84,50000,"CM, RM",Right,2,3,3,Medium/Medium,60.0,71.0,85.0,77.0,62.0,64.0,4,Midfielder,26,604
605,A. Januzaj,Adnan Januzaj,24,1995-02-05,186,76,Belgium,Real Sociedad,Spain Primera Division,1.0,79,84,30000,"RW, RM",Left,1,4,4,Medium/Low,76.0,76.0,74.0,82.0,29.0,56.0,0,Midfielder,14,605
607,N. Stark,Niklas Stark,24,1995-04-14,190,88,Germany,Hertha BSC,German 1. Bundesliga,1.0,79,84,30000,"CB, CDM",Right,1,3,2,Medium/Medium,78.0,53.0,66.0,67.0,80.0,75.0,0,Defender,15,607
608,A. Iwobi,Alex Iwobi,23,1996-05-03,185,75,Nigeria,Everton,English Premier League,1.0,79,84,70000,"LM, LW, RM",Right,1,3,4,High/Medium,80.0,64.0,74.0,83.0,28.0,68.0,1,Forward,17,608
609,J. Gbamin,Jean-Philippe Gbamin,23,1995-09-25,186,83,Ivory Coast,Everton,English Premier League,1.0,79,84,70000,"CDM, CM, CB",Right,1,3,3,Medium/High,80.0,57.0,73.0,74.0,78.0,83.0,0,Defender,2,609
612,J. Maddison,James Maddison,22,1996-11-23,175,73,England,Leicester City,English Premier League,1.0,79,84,70000,"CAM, CM, LW",Right,1,4,4,High/Medium,75.0,72.0,82.0,79.0,39.0,57.0,6,Midfielder,25,612
614,Richarlison,Richarlison de Andrade,22,1997-05-10,181,71,Brazil,Everton,English Premier League,1.0,79,84,70000,"RM, LM, ST",Right,1,5,4,High/Medium,84.0,77.0,72.0,81.0,45.0,79.0,9,Forward,24,614
616,Raphinha,Raphael Dias Belloli,22,1996-12-14,176,68,Brazil,Sporting CP,Portuguese Liga ZON SAGRES,1.0,79,84,15000,"RW, LW",Left,1,3,4,High/Medium,89.0,74.0,74.0,82.0,49.0,70.0,3,Midfielder,11,616
617,E. Dier,Eric Dier,25,1994-01-15,190,90,England,Tottenham Hotspur,English Premier League,1.0,79,83,80000,"CDM, CB, CM",Right,2,3,2,Medium/High,54.0,63.0,71.0,64.0,80.0,84.0,0,Midfielder,12,617
618,L. Trossard,Leandro Trossard,24,1994-12-04,172,67,Belgium,Brighton & Hove Albion,English Premier League,1.0,79,83,50000,LW,Right,1,4,4,High/Medium,83.0,80.0,76.0,82.0,30.0,62.0,3,Forward,20,618
619,Jonny,Jonathan Castro Otto,25,1994-03-03,170,70,Spain,Wolverhampton Wanderers,English Premier League,1.0,79,83,70000,"LWB, LB",Right,2,3,4,High/High,77.0,52.0,70.0,76.0,78.0,70.0,1,Defender,25,619
622,L. Dubois,Léo Dubois,24,1994-09-14,178,73,France,Olympique Lyonnais,French Ligue 1,1.0,79,83,50000,RB,Right,1,4,3,Medium/Medium,74.0,61.0,75.0,75.0,77.0,73.0,0,Midfielder,10,622
623,F. Grillitsch,Florian Grillitsch,23,1995-08-07,187,77,Austria,TSG 1899 Hoffenheim,German 1. Bundesliga,1.0,79,83,30000,"CM, CDM",Right,2,3,3,Medium/Medium,64.0,59.0,77.0,77.0,68.0,66.0,0,Midfielder,20,623
624,L. Cabrera,Leandro Daniel Cabrera Sasía,27,1991-09-06,187,80,Uruguay,Getafe CF,Spain Primera Division,1.0,79,82,30000,"CB, LB",Left,1,3,2,Low/Medium,58.0,31.0,58.0,57.0,79.0,80.0,2,Defender,22,624
625,R. Barkley,Ross Barkley,25,1993-12-05,185,87,England,Chelsea,English Premier League,1.0,79,82,100000,"CAM, CM",Right,2,5,4,Medium/Medium,70.0,73.0,77.0,80.0,56.0,73.0,0,Midfielder,10,625
626,J. Murillo,Jeison Fabián Murillo Cerón,27,1992-05-27,182,78,Colombia,Sampdoria,Italian Serie A,1.0,79,82,40000,CB,Right,2,3,2,Medium/High,75.0,40.0,59.0,63.0,79.0,80.0,0,Defender,10,626
627,J. Tarkowski,James Tarkowski,26,1992-11-19,192,81,England,Burnley,English Premier League,1.0,79,82,40000,CB,Right,1,4,2,Medium/Medium,58.0,45.0,66.0,63.0,79.0,78.0,1,Defender,26,627
630,J. Brooks,John Brooks,26,1993-01-28,193,78,United States,VfL Wolfsburg,German 1. Bundesliga,1.0,79,82,50000,CB,Left,2,3,2,Medium/High,71.0,39.0,58.0,64.0,80.0,75.0,0,Defender,13,630
631,M. Batshuayi,Michy Batshuayi Tunga,25,1993-10-02,185,88,Belgium,Chelsea,English Premier League,1.0,79,82,110000,ST,Right,2,5,4,Medium/Low,76.0,79.0,58.0,78.0,33.0,72.0,1,Forward,15,631
632,M. Arnold,Maximilian Arnold,25,1994-05-27,184,74,Germany,VfL Wolfsburg,German 1. Bundesliga,1.0,79,82,50000,"CM, CDM, CAM",Left,2,2,3,High/High,65.0,80.0,76.0,77.0,70.0,69.0,3,Midfielder,22,632
636,L. Alario,Lucas Nicolás Alario,26,1992-10-08,184,78,Argentina,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,79,82,70000,ST,Right,2,3,3,High/Medium,71.0,77.0,59.0,75.0,29.0,75.0,6,Forward,16,636
638,R. Aguilar,Ruben Aguilar,26,1993-04-26,172,71,France,AS Monaco,French Ligue 1,1.0,79,82,40000,"RB, RWB",Right,1,3,3,High/High,84.0,53.0,69.0,76.0,75.0,73.0,0,Defender,13,638
639,F. Balbuena,Fabián Cornelio Balbuena González,27,1991-08-23,188,85,Paraguay,West Ham United,English Premier League,1.0,79,82,80000,CB,Right,1,3,2,Medium/Medium,56.0,40.0,52.0,50.0,80.0,79.0,1,Midfielder,13,639
640,S. Mustafi,Shkodran Mustafi,27,1992-04-17,184,82,Germany,Arsenal,English Premier League,1.0,79,81,80000,CB,Right,3,3,2,Medium/High,60.0,57.0,63.0,61.0,77.0,77.0,0,Defender,7,640
641,G. Pezzella,Germán Alejandro Pezzella,28,1991-06-27,186,81,Argentina,Fiorentina,Italian Serie A,1.0,79,81,60000,CB,Right,1,3,2,Medium/Medium,56.0,49.0,47.0,56.0,80.0,76.0,2,Defender,21,641
642,D. da Costa,Danny Vieira da Costa,25,1993-07-13,187,85,Germany,Eintracht Frankfurt,German 1. Bundesliga,1.0,79,81,30000,"RWB, RM, RB",Right,1,3,3,High/High,81.0,50.0,70.0,72.0,76.0,81.0,1,Defender,14,642
643,W. Boly,Willy Boly,28,1991-02-03,195,97,France,Wolverhampton Wanderers,English Premier League,1.0,79,81,80000,CB,Right,1,4,2,Medium/Medium,64.0,35.0,62.0,61.0,78.0,82.0,0,Defender,10,643
644,B. Davies,Ben Davies,26,1993-04-24,182,76,Wales,Tottenham Hotspur,English Premier League,1.0,79,81,80000,"LB, LWB",Left,2,3,3,Medium/High,73.0,58.0,75.0,75.0,78.0,74.0,0,Defender,7,644
645,Fred,Frederico R. de Paula Santos,26,1993-03-05,169,64,Brazil,Manchester United,English Premier League,1.0,79,81,110000,CM,Left,1,4,4,High/High,76.0,73.0,75.0,80.0,74.0,69.0,0,Midfielder,22,645
646,M. Samatta,Mbwana Ally Samatta,26,1992-12-13,183,80,Tanzania,KRC Genk,Belgian Jupiler Pro League,1.0,79,81,20000,ST,Right,1,4,3,High/High,85.0,78.0,66.0,73.0,32.0,74.0,1,Forward,2,646
647,Diego Carlos,Diego Carlos Santos Silva,26,1993-03-15,186,86,Brazil,Sevilla FC,Spain Primera Division,1.0,79,81,20000,CB,Right,2,4,3,Medium/High,77.0,44.0,58.0,68.0,78.0,80.0,2,Defender,23,647
648,K. Toko-Ekambi,Karl Brillant Toko Ekambi,26,1992-09-14,185,74,Cameroon,Villarreal CF,Spain Primera Division,1.0,79,81,40000,"ST, LM, LW",Right,2,4,3,High/Medium,79.0,78.0,67.0,78.0,27.0,68.0,1,Forward,1,648
651,M. Sakho,Mamadou Sakho,29,1990-02-13,187,83,France,Crystal Palace,English Premier League,1.0,79,80,60000,CB,Left,3,2,2,Medium/High,53.0,33.0,65.0,56.0,78.0,83.0,0,Defender,8,651
654,Laguardia,Víctor Laguardia Cisneros,29,1989-11-05,185,80,Spain,Deportivo Alavés,Spain Primera Division,1.0,79,80,30000,CB,Right,1,3,2,Medium/High,53.0,45.0,55.0,48.0,80.0,79.0,1,Defender,18,654
655,P. Jones,Phil Jones,27,1992-02-21,185,71,England,Manchester United,English Premier League,1.0,79,80,100000,CB,Right,2,3,2,Medium/High,55.0,51.0,61.0,58.0,78.0,76.0,0,Defender,2,655
656,S. Aurier,Serge Aurier,26,1992-12-24,176,76,Ivory Coast,Tottenham Hotspur,English Premier League,1.0,79,80,80000,"RB, RWB",Right,2,3,3,High/Medium,77.0,59.0,73.0,76.0,77.0,76.0,0,Defender,21,656
657,L. Spinazzola,Leonardo Spinazzola,26,1993-03-25,186,75,Italy,Roma,Italian Serie A,1.0,79,80,50000,"LM, LB",Right,2,4,3,Medium/Medium,81.0,64.0,74.0,80.0,76.0,73.0,0,Midfielder,15,657
658,K. Lala,Kenny Lala,27,1991-10-03,178,78,France,RC Strasbourg Alsace,French Ligue 1,1.0,79,80,30000,RWB,Right,1,3,3,High/Medium,79.0,54.0,76.0,77.0,74.0,76.0,1,Defender,15,658
660,D. Baselli,Daniele Baselli,27,1992-03-12,182,70,Italy,Torino,Italian Serie A,1.0,79,80,50000,CM,Right,2,3,4,High/Medium,71.0,73.0,79.0,81.0,66.0,68.0,0,Midfielder,15,660
661,T. Savanier,Téji Savanier,27,1991-12-22,171,62,France,Montpellier HSC,French Ligue 1,1.0,79,80,40000,"CM, CDM",Right,1,4,4,Medium/Medium,71.0,69.0,81.0,79.0,66.0,68.0,2,Midfielder,11,661
664,D. Zappacosta,Davide Zappacosta,27,1992-06-11,182,72,Italy,Chelsea,English Premier League,1.0,79,80,90000,"RB, RWB",Right,2,3,3,High/High,78.0,66.0,72.0,75.0,76.0,74.0,0,Midfielder,2,664
665,Wu Lei,武磊,27,1991-11-19,174,66,China PR,RCD Espanyol,Spain Primera Division,1.0,79,80,40000,"ST, LM, LW",Right,1,4,3,Medium/Medium,87.0,74.0,72.0,80.0,36.0,66.0,3,Midfielder,19,665
669,S. Kalou,Salomon Armand Magloire Kalou,33,1985-08-05,185,79,Ivory Coast,Hertha BSC,German 1. Bundesliga,1.0,79,79,30000,"LM, ST, RM",Right,3,3,4,Medium/Low,65.0,78.0,74.0,85.0,43.0,59.0,1,Forward,5,669
670,Dante,Dante Bonfim da Costa Santos,35,1983-10-18,188,85,Brazil,OGC Nice,French Ligue 1,1.0,79,79,20000,CB,Left,3,4,2,Medium/High,36.0,52.0,67.0,63.0,80.0,76.0,1,Defender,13,670
671,M. Debuchy,Mathieu Debuchy,33,1985-07-28,176,76,France,AS Saint-Étienne,French Ligue 1,1.0,79,79,30000,RB,Right,3,3,3,High/Medium,69.0,67.0,73.0,75.0,78.0,73.0,0,Defender,12,671
673,Borja Valero,Borja Valero Iglesias,34,1985-01-12,175,73,Spain,Inter,Italian Serie A,1.0,79,79,70000,"CAM, CDM",Right,3,4,4,Medium/Medium,48.0,69.0,84.0,82.0,66.0,60.0,1,Midfielder,9,673
675,J. Evans,Jonny Evans,31,1988-01-03,188,77,Northern Ireland,Leicester City,English Premier League,1.0,79,79,80000,CB,Right,2,4,2,Medium/High,56.0,32.0,59.0,53.0,80.0,75.0,1,Defender,26,675
677,N. Moisander,Niklas Moisander,33,1985-09-29,183,76,Finland,SV Werder Bremen,German 1. Bundesliga,1.0,79,79,30000,CB,Left,2,5,3,High/Medium,50.0,49.0,69.0,70.0,80.0,71.0,0,Defender,10,677
678,D. Criscito,Domenico Criscito,32,1986-12-30,183,75,Italy,Genoa,Italian Serie A,1.0,79,79,20000,"LB, CB",Left,2,3,3,High/Medium,74.0,61.0,76.0,72.0,79.0,75.0,6,Defender,16,678
679,A. Candreva,Antonio Candreva,32,1987-02-28,180,70,Italy,Inter,Italian Serie A,1.0,79,79,70000,RM,Right,3,4,4,Medium/Medium,74.0,78.0,76.0,80.0,61.0,67.0,2,Midfielder,18,679
681,K. Boateng,Kevin-Prince Boateng,32,1987-03-06,185,86,Ghana,Fiorentina,Italian Serie A,1.0,79,79,60000,"CF, CM",Right,3,4,4,High/Medium,65.0,79.0,78.0,80.0,67.0,77.0,1,Midfielder,14,681
684,Nacho Monreal,Ignacio Monreal Eraso,33,1986-02-26,180,77,Spain,Arsenal,English Premier League,1.0,79,79,80000,"LB, CB",Left,2,3,3,High/Medium,63.0,61.0,71.0,74.0,80.0,68.0,0,Defender,3,684
686,Granero,Esteban Félix Granero Molina,31,1987-07-02,180,78,Spain,RCD Espanyol,Spain Primera Division,1.0,79,79,30000,"CM, LM, RM",Right,2,4,4,Medium/Medium,47.0,74.0,81.0,76.0,67.0,67.0,1,Midfielder,11,686
689,S. Coleman,Séamus Coleman,30,1988-10-11,177,77,Republic of Ireland,Everton,English Premier League,1.0,79,79,80000,RB,Right,2,3,3,High/High,74.0,65.0,73.0,77.0,79.0,71.0,0,Defender,17,689
690,A. Lallana,Adam David Lallana,31,1988-05-10,178,73,England,Liverpool,English Premier League,1.0,79,79,90000,CM,Right,3,5,4,High/High,67.0,71.0,79.0,82.0,62.0,65.0,1,Midfielder,13,690
691,A. Modeste,Anthony Modeste,31,1988-04-14,187,84,France,1. FC Köln,German 1. Bundesliga,1.0,79,79,40000,ST,Right,2,3,3,Medium/Medium,74.0,78.0,63.0,72.0,35.0,80.0,1,Forward,16,691
692,M. Gradel,Max-Alain Gradel,31,1987-11-30,177,70,Ivory Coast,Toulouse Football Club,French Ligue 1,1.0,79,79,40000,"LW, LM",Right,2,4,4,High/High,84.0,78.0,73.0,81.0,42.0,62.0,2,Midfielder,14,692
693,Yuri Berchiche,Yuri Berchiche Izeta,29,1990-02-10,180,80,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,79,79,30000,LB,Left,2,3,3,High/Medium,80.0,64.0,71.0,74.0,78.0,81.0,2,Defender,21,693
695,O. Toprak,Ömer Toprak,29,1989-07-21,186,83,Turkey,SV Werder Bremen,German 1. Bundesliga,1.0,79,79,30000,CB,Right,3,4,2,Medium/Medium,71.0,37.0,62.0,66.0,80.0,74.0,0,Defender,9,695
704,J. Wilshere,Jack Wilshere,27,1992-01-01,172,68,England,West Ham United,English Premier League,1.0,79,79,80000,"CM, CAM, CDM",Left,3,2,3,Medium/Medium,64.0,68.0,80.0,81.0,63.0,66.0,0,Midfielder,6,704
708,J. Pastore,Javier Matías Pastore,30,1989-06-20,187,78,Argentina,Roma,Italian Serie A,1.0,79,79,50000,"CM, LW, RW",Right,3,4,4,High/Medium,62.0,73.0,81.0,82.0,56.0,58.0,0,Defender,9,708
710,F. Orellana,Fabián Ariel Orellana Valenzuela,33,1986-01-27,171,64,Chile,SD Eibar,Spain Primera Division,1.0,79,79,30000,"RM, CAM, LM",Right,2,4,4,High/Low,72.0,75.0,78.0,81.0,40.0,45.0,6,Forward,20,710
712,Kike García,Enrique García Martínez,29,1989-11-25,186,79,Spain,SD Eibar,Spain Primera Division,1.0,79,79,30000,"ST, LM",Right,1,4,3,Medium/Medium,61.0,79.0,63.0,75.0,38.0,73.0,3,Forward,15,712
713,Escudero,Sergio Escudero Palomo,29,1989-09-02,176,72,Spain,Sevilla FC,Spain Primera Division,1.0,79,79,20000,"LB, LM",Left,1,2,3,Medium/Medium,72.0,63.0,74.0,71.0,79.0,72.0,0,Defender,5,713
717,I. Belfodil,Ishak Belfodil,27,1992-01-12,191,86,Algeria,TSG 1899 Hoffenheim,German 1. Bundesliga,1.0,79,79,40000,ST,Right,2,2,3,High/Medium,71.0,77.0,69.0,78.0,36.0,81.0,0,Forward,5,717
718,A. Yarmolenko,Andriy Yarmolenko,29,1989-10-23,190,83,Ukraine,West Ham United,English Premier League,1.0,79,79,90000,"RM, RW",Left,3,2,4,High/Medium,68.0,80.0,78.0,82.0,42.0,70.0,3,Forward,15,718
719,W. Khazri,Wahbi Khazri,28,1991-02-08,176,82,Tunisia,AS Saint-Étienne,French Ligue 1,1.0,79,79,40000,"ST, CAM",Right,1,4,4,High/High,76.0,80.0,77.0,79.0,43.0,68.0,2,Midfielder,11,719
721,D. Caligiuri,Daniel Caligiuri,31,1988-01-15,182,80,Italy,FC Schalke 04,German 1. Bundesliga,1.0,79,79,30000,"RWB, RB, RM",Right,2,4,3,Medium/High,74.0,74.0,77.0,79.0,72.0,76.0,1,Midfielder,20,721
722,Danilo,Danilo Luiz da Silva,27,1991-07-15,184,78,Brazil,Juventus,Italian Serie A,1.0,79,79,90000,"RB, LB",Right,2,4,3,High/Medium,71.0,70.0,74.0,74.0,78.0,76.0,1,Defender,11,722
723,N. Pallois,Nicolas Pallois,31,1987-09-19,189,89,France,FC Nantes,French Ligue 1,1.0,79,79,30000,CB,Left,2,2,2,Medium/High,49.0,53.0,60.0,56.0,79.0,84.0,0,Defender,14,723
724,Vitolo,Víctor Machín Pérez,29,1989-11-02,185,79,Spain,Atlético Madrid,Spain Primera Division,1.0,79,79,60000,"LM, RM",Right,2,4,3,Medium/Medium,76.0,76.0,76.0,79.0,41.0,75.0,2,Midfielder,18,724
725,M. Badelj,Milan Badelj,30,1989-02-25,186,80,Croatia,Fiorentina,Italian Serie A,1.0,79,79,50000,"CDM, CM",Right,2,4,3,Medium/Medium,54.0,63.0,76.0,73.0,76.0,71.0,1,Midfielder,18,725
730,Mário Rui,Mário Rui Silva Duarte,28,1991-05-27,170,67,Portugal,Napoli,Italian Serie A,1.0,79,79,60000,LB,Left,2,3,3,High/Medium,83.0,49.0,73.0,79.0,73.0,67.0,0,Defender,13,730
731,T. Inui,乾 貴士,31,1988-06-02,169,69,Japan,SD Eibar,Spain Primera Division,1.0,79,79,30000,"LM, RM",Right,1,4,4,Medium/Medium,81.0,72.0,75.0,84.0,46.0,54.0,1,Midfielder,18,731
733,C. Bacca,Carlos Arturo Bacca Ahumada,32,1986-09-08,181,77,Colombia,Villarreal CF,Spain Primera Division,1.0,79,79,40000,ST,Right,3,2,3,Medium/Low,70.0,76.0,64.0,76.0,33.0,66.0,1,Forward,12,733
738,D. Benedetto,Darío Ismael Benedetto,29,1990-05-17,177,80,Argentina,Olympique de Marseille,French Ligue 1,1.0,79,79,50000,ST,Right,2,5,3,High/Low,80.0,80.0,66.0,75.0,38.0,73.0,6,Forward,17,738
745,Maikel Catarino,Maikel Renan Catarino Fagundes,35,1984-02-29,177,75,Brazil,Atlético Mineiro,Campeonato Brasileiro Série A,1.0,79,79,30000,"RB, RM",Right,1,3,3,High/Medium,79.0,51.0,70.0,78.0,77.0,67.0,0,Defender,7,745
755,I. Sarr,Ismaïla Sarr,21,1998-02-25,185,76,Senegal,Watford,English Premier League,1.0,78,88,50000,"RM, LM",Right,1,2,4,High/Medium,94.0,77.0,68.0,81.0,22.0,64.0,3,Midfielder,16,755
756,D. Rice,Declan Rice,20,1999-01-14,185,80,England,West Ham United,English Premier League,1.0,78,87,50000,"CDM, CB, CM",Right,1,3,2,Medium/High,62.0,37.0,64.0,68.0,77.0,77.0,0,Midfielder,26,756
757,F. Neuhaus,Florian Neuhaus,22,1997-03-16,183,74,Germany,Borussia Mönchengladbach,German 1. Bundesliga,1.0,78,87,30000,CM,Right,1,3,3,Medium/Medium,70.0,66.0,75.0,79.0,64.0,67.0,3,Midfielder,18,757
760,J. Andersen,Joachim Andersen,23,1996-05-31,192,90,Denmark,Olympique Lyonnais,French Ligue 1,1.0,78,86,50000,CB,Right,1,3,2,Medium/High,60.0,40.0,54.0,55.0,78.0,79.0,1,Defender,14,760
761,D. Zakaria,Denis Lemi Zakaria Lako Lado,22,1996-11-20,191,80,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga,1.0,78,86,30000,"CM, CDM",Right,1,3,3,Medium/Medium,82.0,63.0,75.0,76.0,79.0,82.0,2,Midfielder,20,761
762,I. Diop,Issa Diop,22,1997-01-09,194,92,France,West Ham United,English Premier League,1.0,78,86,60000,CB,Right,2,3,2,Medium/Medium,67.0,36.0,52.0,55.0,79.0,79.0,2,Defender,20,762
763,H. Onyekuru,Henry Chukwuemeka Onyekuru,22,1997-06-05,175,59,Nigeria,AS Monaco,French Ligue 1,1.0,78,86,30000,"LM, ST",Right,2,4,4,High/Low,90.0,74.0,67.0,82.0,34.0,56.0,0,Forward,3,763
769,O. Zinchenko,Oleksandr Zinchenko,22,1996-12-15,175,64,Ukraine,Manchester City,English Premier League,1.0,78,85,80000,LB,Left,1,3,3,Medium/Medium,71.0,66.0,80.0,79.0,77.0,66.0,0,Midfielder,11,769
770,J. Mateta,Jean-Philippe Mateta,22,1997-06-28,192,88,France,1. FSV Mainz 05,German 1. Bundesliga,1.0,78,85,30000,ST,Right,1,4,3,High/Low,82.0,75.0,53.0,73.0,34.0,77.0,2,Forward,7,770
772,B. Cristante,Bryan Cristante,24,1995-03-03,186,80,Italy,Roma,Italian Serie A,1.0,78,84,40000,"CM, CDM, CAM",Right,2,3,3,Medium/Medium,58.0,72.0,75.0,75.0,74.0,76.0,1,Midfielder,13,772
773,L. Dendoncker,Leander Dendoncker,24,1995-04-15,189,88,Belgium,Wolverhampton Wanderers,English Premier League,1.0,78,84,70000,"CM, CB",Right,2,4,2,High/High,67.0,72.0,77.0,71.0,78.0,83.0,2,Midfielder,25,773
774,M. Dahoud,Mahmoud Dahoud,23,1996-01-01,178,68,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,78,84,60000,"CM, CDM",Right,2,4,4,High/High,73.0,66.0,75.0,84.0,64.0,68.0,0,Midfielder,9,774
775,N. Elvedi,Nico Elvedi,22,1996-09-30,189,78,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga,1.0,78,84,20000,"CB, RB, LB",Right,2,3,3,Medium/Medium,71.0,34.0,62.0,69.0,78.0,75.0,1,Defender,20,775
776,Joelinton,Joelinton Cassio Apolinário de Lira,22,1996-08-14,186,81,Brazil,Newcastle United,English Premier League,1.0,78,84,40000,"ST, CAM",Right,1,4,3,High/Medium,78.0,75.0,60.0,76.0,43.0,81.0,1,Forward,26,776
777,Daniel Podence,Daniel Castelo Podence,23,1995-10-21,163,65,Portugal,Olympiacos CFP,Rest of World,0.0,78,84,2000,"LM, RM, CAM",Right,1,4,4,High/Medium,93.0,63.0,70.0,84.0,33.0,51.0,0,Midfielder,2,777
780,E. Bardhi,Enis Bardhi,23,1995-07-02,172,64,North Macedonia,Levante UD,Spain Primera Division,1.0,78,84,20000,"CM, LM, CAM",Right,1,4,4,Medium/Medium,72.0,81.0,78.0,80.0,63.0,56.0,2,Midfielder,18,780
782,Calero,Fernando Calero Villa,23,1995-09-14,183,71,Spain,RCD Espanyol,Spain Primera Division,1.0,78,84,20000,CB,Right,1,4,3,High/Medium,72.0,46.0,69.0,71.0,79.0,76.0,0,Defender,14,782
784,Óliver Torres,Óliver Torres Muñoz,24,1994-11-10,175,63,Spain,Sevilla FC,Spain Primera Division,1.0,78,83,15000,CM,Right,3,4,3,High/Medium,67.0,66.0,78.0,82.0,63.0,52.0,1,Midfielder,18,784
785,G. Laborde,Gaëtan Laborde,25,1994-05-03,181,78,France,Montpellier HSC,French Ligue 1,1.0,78,83,40000,ST,Left,1,3,3,High/Medium,72.0,76.0,67.0,75.0,34.0,79.0,3,Forward,18,785
786,R. De Paul,Rodrigo Javier De Paul,25,1994-05-24,178,70,Argentina,Udinese,Italian Serie A,1.0,78,83,20000,"CF, CM, LW",Right,1,3,4,Medium/Medium,75.0,73.0,78.0,82.0,35.0,63.0,4,Midfielder,21,786
787,D. Selke,Davie Selke,24,1995-01-20,194,84,Germany,Hertha BSC,German 1. Bundesliga,1.0,78,83,30000,ST,Right,1,3,3,High/Medium,76.0,76.0,53.0,72.0,43.0,76.0,1,Forward,21,787
789,D. Origi,Divock Okoth Origi,24,1995-04-18,188,75,Belgium,Liverpool,English Premier League,1.0,78,83,80000,ST,Right,2,4,4,High/Medium,82.0,76.0,67.0,75.0,27.0,74.0,3,Forward,20,789
790,E. Pulgar,Erick Antonio Pulgar Farfán,25,1994-01-15,187,74,Chile,Fiorentina,Italian Serie A,1.0,78,83,50000,"CDM, CM",Right,1,3,3,Medium/High,64.0,61.0,75.0,74.0,76.0,78.0,3,Defender,23,790
794,Rúben Vezo,Rúben Miguel Nunes Vezo,25,1994-04-25,183,80,Portugal,Levante UD,Spain Primera Division,1.0,78,83,20000,"CB, RB",Right,1,2,2,Medium/Medium,75.0,54.0,63.0,63.0,79.0,75.0,1,Defender,18,794
795,B. Santamaria,Baptiste Santamaría,24,1995-03-09,183,73,France,Angers SCO,French Ligue 1,1.0,78,83,20000,"CDM, CM",Right,1,2,3,Medium/Medium,64.0,63.0,73.0,77.0,75.0,73.0,1,Midfielder,18,795
796,Y. Mina,Yerry Fernando Mina González,24,1994-09-23,195,94,Colombia,Everton,English Premier League,1.0,78,83,60000,CB,Right,1,3,2,Medium/Medium,51.0,54.0,55.0,56.0,78.0,80.0,2,Defender,24,796
798,L. Tousart,Lucas Tousart,22,1997-04-29,185,83,France,Olympique Lyonnais,French Ligue 1,1.0,78,83,50000,CDM,Right,2,3,2,Low/High,62.0,53.0,66.0,64.0,79.0,83.0,1,Midfielder,15,798
799,Y. Yazıcı,Yusuf Yazıcı,22,1997-01-29,183,74,Turkey,LOSC Lille,French Ligue 1,1.0,78,83,30000,"CAM, CM, RM",Left,1,4,4,High/Medium,75.0,74.0,78.0,81.0,47.0,74.0,0,Midfielder,14,799
800,M. Gregoritsch,Michael Gregoritsch,25,1994-04-18,193,87,Austria,FC Augsburg,German 1. Bundesliga,1.0,78,82,30000,"CAM, ST",Left,2,3,4,High/Low,64.0,78.0,74.0,74.0,40.0,71.0,1,Forward,11,800
801,J. Lascelles,Jamaal Lascelles,25,1993-11-11,188,89,England,Newcastle United,English Premier League,1.0,78,82,40000,CB,Right,1,3,2,Medium/High,59.0,28.0,51.0,57.0,78.0,80.0,1,Defender,16,801
804,K. Rekik,Karim Rekik,24,1994-12-02,186,84,Netherlands,Hertha BSC,German 1. Bundesliga,1.0,78,82,20000,CB,Left,1,2,2,Medium/High,67.0,39.0,59.0,62.0,78.0,77.0,1,Defender,12,804
806,I. Amadou,Ibrahim Amadou,26,1993-04-06,184,81,France,Norwich City,English Premier League,1.0,78,82,50000,"CDM, CB",Right,2,3,3,Medium/High,71.0,55.0,66.0,72.0,76.0,81.0,0,Midfielder,0,806
807,M. Meyer,Max Meyer,23,1995-09-18,173,68,Germany,Crystal Palace,English Premier League,1.0,78,82,50000,"CM, LM",Right,2,4,4,Medium/Medium,67.0,62.0,79.0,83.0,65.0,65.0,0,Midfielder,13,807
