,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic
342,Jordi Masip,Jordi Masip López,31,1989-01-03,180,76,Spain,Real Valladolid CF,Spain Primera Division,1.0,81,81,21000,GK,Right,1,4,1,Medium/Medium,,,,,,
343,J. Cillessen,Jasper Cillessen,31,1989-04-22,185,83,Netherlands,Valencia CF,Spain Primera Division,1.0,81,81,33000,GK,Right,3,3,1,Medium/Medium,,,,,,
344,S. Berghuis,Steven Berghuis,28,1991-12-19,182,75,Netherlands,Feyenoord,Holland Eredivisie,1.0,81,81,23000,RW,Left,2,3,4,Medium/Medium,80.0,80.0,83.0,82.0,36.0,64.0
345,K. Volland,Kevin Volland,27,1992-07-30,179,85,Germany,AS Monaco,French Ligue 1,1.0,81,81,68000,"ST, RW, LW",Left,2,4,3,High/High,73.0,84.0,79.0,79.0,41.0,84.0
346,Ismaily,Ismaily Gonçalves dos Santos,30,1990-01-11,177,86,Brazil,Shakhtar Donetsk,Ukrainian Premier League,1.0,81,81,500,LB,Left,1,3,4,High/Medium,82.0,64.0,74.0,81.0,75.0,75.0
347,M. Doherty,Matt Doherty,28,1992-01-16,182,87,Republic of Ireland,Tottenham Hotspur,English Premier League,1.0,81,81,96000,"RWB, RB",Right,1,4,3,High/Medium,72.0,64.0,73.0,75.0,76.0,79.0
348,Felipe Anderson,Felipe Anderson Pereira Gomes,27,1993-04-15,175,70,Brazil,West Ham United,English Premier League,1.0,81,81,53000,"LM, CAM",Right,3,4,4,High/Medium,89.0,75.0,78.0,86.0,55.0,60.0
349,T. Meunier,Thomas Meunier,28,1991-09-12,190,82,Belgium,Borussia Dortmund,German 1. Bundesliga,1.0,81,81,63000,"RB, RM",Right,2,4,3,High/Medium,77.0,73.0,76.0,74.0,77.0,84.0
350,Suso,Jesús Joaquín Fernández Sáez de la Torre,26,1993-11-19,176,70,Spain,Sevilla FC,Spain Primera Division,1.0,81,81,39000,"RW, CAM",Left,3,3,4,High/Medium,76.0,75.0,82.0,86.0,33.0,53.0
351,A. Florenzi,Alessandro Florenzi,29,1991-03-11,173,67,Italy,Paris Saint-Germain,French Ligue 1,1.0,81,81,84000,RB,Right,3,3,4,High/High,81.0,77.0,76.0,79.0,77.0,73.0
352,S. Arias,Santiago Arias Naranjo,28,1992-01-13,178,72,Colombia,Atlético Madrid,Spain Primera Division,1.0,81,81,60000,RB,Right,2,3,3,High/Medium,81.0,53.0,70.0,76.0,77.0,78.0
353,E. Zahavi,Eran Zahavi,32,1987-07-25,182,71,Israel,PSV,Holland Eredivisie,1.0,81,81,27000,"ST, LM",Right,1,4,4,High/Low,79.0,82.0,75.0,83.0,39.0,73.0
354,M. de Roon,Marten de Roon,29,1991-03-29,185,76,Netherlands,Atalanta,Italian Serie A,1.0,81,81,62000,"CDM, CM",Right,2,3,3,Medium/High,64.0,68.0,72.0,72.0,82.0,80.0
355,I. Fernández,Ignacio Martín Fernández,30,1990-01-12,182,70,Argentina,River Plate,Argentina Primera División,1.0,81,81,24000,"CM, CAM",Left,1,2,4,High/Medium,76.0,78.0,81.0,82.0,70.0,74.0
356,Capa,Ander Capa Rodríguez,28,1992-02-08,175,75,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,81,81,31000,RB,Right,1,3,3,High/High,83.0,65.0,77.0,79.0,75.0,88.0
357,M. Politano,Matteo Politano,26,1993-08-03,171,67,Italy,Napoli,Italian Serie A,1.0,81,81,74000,"RM, RW, ST",Left,2,4,4,High/Medium,83.0,77.0,78.0,84.0,42.0,55.0
358,W. Weghorst,Wout Weghorst,27,1992-08-07,197,84,Netherlands,VfL Wolfsburg,German 1. Bundesliga,1.0,81,81,62000,ST,Right,1,3,3,High/High,65.0,82.0,59.0,69.0,39.0,85.0
359,Juiano Mestres,Juan Everton Mestres de Mesquita,24,1996-02-29,181,82,Brazil,,,,81,81,0,"CB, CDM",Right,1,3,2,High/Medium,71.0,61.0,57.0,62.0,82.0,80.0
360,Adryan Zonta,Adryan Juliano Zonta Torres,28,1992-02-29,172,68,Brazil,São Paulo,Campeonato Brasileiro Série A,1.0,81,81,500,"LWB, LB",Left,1,4,2,Medium/Medium,93.0,66.0,75.0,76.0,72.0,77.0
361,Rosberto Dourado,Rosberto J. Dourado Santos,20,2000-02-29,175,70,Brazil,Atlético Mineiro,Campeonato Brasileiro Série A,1.0,81,81,31000,"CDM, CM, CAM",Right,1,4,2,High/Medium,77.0,57.0,74.0,76.0,82.0,68.0
362,Louri Beretta,Lourival Adnan Beretta Barbosa,28,1992-02-29,188,83,Brazil,Atlético Mineiro,Campeonato Brasileiro Série A,1.0,81,81,53000,"ST, CF",Right,1,3,4,High/Low,78.0,84.0,62.0,72.0,33.0,71.0
363,Welington Dano,Welington Kauê Dano Nascimento,20,2000-02-29,178,69,Brazil,,,,81,81,0,"LB, LM",Left,1,4,4,Medium/Medium,79.0,54.0,76.0,78.0,75.0,74.0
364,Nuno Padrenda,Nuno Ailton Padrenda Mendes,24,1996-02-29,180,75,Brazil,Palmeiras,Campeonato Brasileiro Série A,1.0,81,81,500,"CAM, CM, ST",Right,1,4,2,Medium/Medium,82.0,73.0,77.0,82.0,52.0,70.0
365,Oswaldinato,Marvin Oswaldo Rangel Azevedo,28,1992-02-29,184,79,Brazil,Flamengo,Campeonato Brasileiro Série A,1.0,81,81,500,ST,Right,1,3,2,Medium/Medium,76.0,81.0,67.0,77.0,20.0,78.0
366,Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,19,2000-07-12,176,73,Brazil,Real Madrid,Spain Primera Division,1.0,80,93,95000,LW,Right,2,4,5,High/Medium,95.0,69.0,71.0,87.0,29.0,66.0
367,N. Barella,Nicolò Barella,23,1997-02-07,175,68,Italy,Inter,Italian Serie A,1.0,80,87,86000,"CM, CAM",Right,2,3,3,Medium/High,78.0,67.0,79.0,82.0,74.0,72.0
368,N. Mukiele,Nordi Mukiele Mulere,22,1997-11-01,187,84,France,RB Leipzig,German 1. Bundesliga,1.0,80,87,46000,"RB, CB, RWB",Right,1,3,3,Medium/Medium,83.0,42.0,69.0,72.0,80.0,77.0
369,M. Mount,Mason Mount,21,1999-01-10,178,70,England,Chelsea,English Premier League,1.0,80,87,69000,"CAM, CM, LW",Right,1,4,3,High/Medium,74.0,77.0,79.0,80.0,48.0,61.0
370,D. Henderson,Dean Henderson,23,1997-03-12,190,85,England,Manchester United,English Premier League,1.0,80,87,70000,GK,Right,1,3,1,Medium/Medium,,,,,,
371,T. Ndombele,Tanguy Ndombèlé Alvaro,23,1996-12-28,181,76,France,Tottenham Hotspur,English Premier League,1.0,80,87,82000,"CM, CDM",Right,1,3,4,Medium/Medium,74.0,66.0,80.0,87.0,69.0,72.0
372,Éder Militão,Éder Gabriel Militão,22,1998-01-18,186,78,Brazil,Real Madrid,Spain Primera Division,1.0,80,87,115000,"CB, RB",Right,1,2,2,Medium/High,78.0,50.0,66.0,71.0,81.0,81.0
373,A. Saint-Maximin,Allan Saint-Maximin,23,1997-03-12,173,67,France,Newcastle United,English Premier League,1.0,80,86,43000,"LM, LW, ST",Right,2,4,5,High/Low,93.0,70.0,72.0,88.0,25.0,63.0
374,Diogo Jota,Diogo José Teixeira da Silva,23,1996-12-04,178,73,Portugal,Liverpool,English Premier League,1.0,80,86,90000,"LW, ST, CM",Right,2,5,4,High/High,83.0,77.0,71.0,84.0,53.0,77.0
375,Merino,Mikel Merino Zazón,24,1996-06-22,189,83,Spain,Real Sociedad,Spain Primera Division,1.0,80,86,31000,CM,Left,1,3,3,Medium/Medium,70.0,76.0,78.0,82.0,77.0,78.0
376,M. Thuram,Marcus Thuram,22,1997-08-06,192,87,France,Borussia Mönchengladbach,German 1. Bundesliga,1.0,80,86,43000,"LW, ST",Right,1,2,3,High/Medium,84.0,80.0,70.0,80.0,48.0,77.0
377,Unai Simón,Unai Simón Mendibil,23,1997-06-11,190,89,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,80,86,18000,GK,Right,1,2,1,Medium/Medium,,,,,,
378,C. Nkunku,Christopher Nkunku,22,1997-11-14,179,72,France,RB Leipzig,German 1. Bundesliga,1.0,80,86,50000,"CAM, ST",Right,1,3,4,Medium/Medium,78.0,74.0,80.0,85.0,69.0,65.0
379,N. Vlašić,Nikola Vlašić,22,1997-10-04,178,79,Croatia,PFC CSKA Moscow,Russian Premier League,1.0,80,86,500,CAM,Right,1,5,3,High/Medium,83.0,75.0,76.0,82.0,48.0,71.0
380,D. Livaković,Dominik Livaković,25,1995-01-09,187,79,Croatia,Dinamo Zagreb,Croatian Prva HNL,1.0,80,86,500,GK,Right,1,3,1,Medium/Medium,,,,,,
381,V. Tsygankov,Viktor Tsygankov,22,1997-11-15,175,71,Ukraine,Dynamo Kyiv,Ukrainian Premier League,1.0,80,86,500,RM,Left,1,4,4,High/Medium,85.0,73.0,78.0,80.0,45.0,57.0
382,Héctor Bellerín,Héctor Bellerín Moruno,25,1995-03-19,178,74,Spain,Arsenal,English Premier League,1.0,80,85,76000,"RB, RWB",Right,3,2,3,High/Low,85.0,51.0,70.0,77.0,76.0,65.0
383,Angeliño,José Ángel Esmoris Tasende,23,1997-01-04,175,69,Spain,RB Leipzig,German 1. Bundesliga,1.0,80,85,46000,LB,Left,2,3,4,High/Medium,73.0,66.0,80.0,81.0,75.0,72.0
384,L. Klostermann,Lukas Klostermann,24,1996-06-03,187,88,Germany,RB Leipzig,German 1. Bundesliga,1.0,80,85,46000,"CB, RB, RWB",Right,1,3,2,Medium/Medium,84.0,51.0,66.0,71.0,82.0,77.0
385,Dani Ceballos,Daniel Ceballos Fernández,23,1996-08-07,179,68,Spain,Arsenal,English Premier League,1.0,80,85,76000,"CM, CAM",Right,2,3,4,High/Medium,69.0,70.0,79.0,83.0,69.0,70.0
386,O. Zinchenko,Oleksandr Zinchenko,23,1996-12-15,175,64,Ukraine,Manchester City,English Premier League,1.0,80,85,96000,LB,Left,1,3,3,High/Medium,73.0,66.0,81.0,80.0,77.0,69.0
387,L. Bailey,Leon Bailey Butler,22,1997-08-09,178,79,Jamaica,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,80,85,59000,"LM, RM",Left,1,4,4,High/Low,94.0,76.0,73.0,83.0,33.0,64.0
388,C. Söyüncü,Çağlar Söyüncü,24,1996-05-23,185,82,Turkey,Leicester City,English Premier League,1.0,80,85,69000,CB,Right,1,4,2,Medium/Medium,69.0,46.0,60.0,67.0,80.0,80.0
389,L. Jović,Luka Jović,22,1997-12-23,182,85,Serbia,Real Madrid,Spain Primera Division,1.0,80,85,140000,ST,Right,1,5,3,Medium/Medium,75.0,81.0,68.0,80.0,29.0,74.0
390,T. Hernández,Theo Bernard François Hernández,22,1997-10-06,184,82,France,Milan,Italian Serie A,1.0,80,85,37000,LB,Left,1,3,3,High/Medium,92.0,67.0,73.0,77.0,74.0,77.0
391,M. Arambarri,Mauro Wilney Arambarri Rosa,24,1995-09-30,175,74,Uruguay,Getafe CF,Spain Primera Division,1.0,80,85,28000,"CDM, CM",Right,1,3,3,Medium/Medium,52.0,58.0,71.0,72.0,78.0,76.0
392,David Neres,David Neres Campos,23,1997-03-03,176,66,Brazil,Ajax,Holland Eredivisie,1.0,80,85,21000,"LW, RW, CAM",Left,3,3,5,Medium/Medium,86.0,73.0,73.0,86.0,36.0,65.0
393,M. Gómez,Maximiliano Gómez González,23,1996-08-14,186,84,Uruguay,Valencia CF,Spain Primera Division,1.0,80,85,40000,ST,Right,1,3,3,High/Low,68.0,81.0,68.0,73.0,32.0,82.0
394,P. Højbjerg,Pierre-Emile Højbjerg,24,1995-08-05,185,84,Denmark,Tottenham Hotspur,English Premier League,1.0,80,84,73000,CDM,Right,2,4,3,Medium/High,61.0,70.0,76.0,75.0,77.0,80.0
395,V. Lindelöf,Victor Nilsson Lindelöf,25,1994-07-17,187,80,Sweden,Manchester United,English Premier League,1.0,80,84,100000,CB,Right,2,4,3,Medium/High,64.0,50.0,72.0,72.0,81.0,77.0
396,Álex Remiro,Alejandro Remiro Gargallo,25,1995-03-24,191,83,Spain,Real Sociedad,Spain Primera Division,1.0,80,84,25000,GK,Right,1,4,1,Medium/Medium,,,,,,
397,J. Stones,John Stones,26,1994-05-28,188,70,England,Manchester City,English Premier League,1.0,80,83,110000,CB,Right,2,4,3,High/Medium,68.0,36.0,69.0,71.0,82.0,77.0
398,K. Zouma,Kurt Happy Zouma,25,1994-10-27,190,95,France,Chelsea,English Premier League,1.0,80,83,82000,CB,Right,2,3,2,Medium/Medium,67.0,51.0,61.0,56.0,80.0,84.0
399,J. Grealish,Jack Grealish,24,1995-09-10,180,68,England,Aston Villa,English Premier League,1.0,80,83,65000,"LW, CAM, CM",Right,1,3,4,Medium/Medium,76.0,74.0,80.0,84.0,46.0,61.0
400,A. Januzaj,Adnan Januzaj,25,1995-02-05,186,76,Belgium,Real Sociedad,Spain Primera Division,1.0,80,83,37000,"RW, RM",Left,1,4,4,Medium/Low,78.0,75.0,78.0,83.0,30.0,58.0
401,A. Belotti,Andrea Belotti,26,1993-12-20,181,72,Italy,Torino,Italian Serie A,1.0,80,83,57000,ST,Right,3,5,3,High/High,76.0,81.0,57.0,77.0,41.0,81.0
402,P. Zieliński,Piotr Zieliński,26,1994-05-20,180,75,Poland,Napoli,Italian Serie A,1.0,80,83,69000,"CM, LM",Right,3,5,4,Medium/Medium,79.0,72.0,81.0,83.0,70.0,60.0
403,Otávio,Otávio Edmilson da Silva Monteiro,25,1995-02-09,172,71,Brazil,FC Porto,Portuguese Liga ZON SAGRES,1.0,80,83,17000,"RM, CAM, CM",Right,1,3,4,High/High,76.0,69.0,78.0,85.0,55.0,65.0
404,D. Rugani,Daniele Rugani,25,1994-07-29,190,84,Italy,Juventus,Italian Serie A,1.0,80,83,71000,CB,Right,2,3,2,Low/Medium,61.0,39.0,55.0,64.0,84.0,72.0
405,J. Musso,Juan Agustín Musso,26,1994-05-06,191,93,Argentina,Udinese,Italian Serie A,1.0,80,83,17000,GK,Right,1,3,1,Medium/Medium,,,,,,
406,C. Tolisso,Corentin Tolisso,25,1994-08-03,181,81,France,FC Bayern München,German 1. Bundesliga,1.0,80,83,74000,"CM, CDM",Right,2,3,3,High/Medium,72.0,77.0,78.0,78.0,76.0,77.0
407,H. Lozano,Hirving Rodrigo Lozano Bahena,24,1995-07-30,175,70,Mexico,Napoli,Italian Serie A,1.0,80,83,66000,"RW, ST, LW",Right,3,3,4,High/Low,93.0,75.0,71.0,81.0,41.0,64.0
408,V. Rongier,Valentin Rongier,25,1994-12-07,172,70,France,Olympique de Marseille,French Ligue 1,1.0,80,83,45000,"CM, CDM",Right,2,4,3,Medium/High,61.0,73.0,76.0,80.0,75.0,63.0
409,Gelson Martins,Gelson Dany Batalha Martins,25,1995-05-11,173,74,Portugal,AS Monaco,French Ligue 1,1.0,80,83,55000,"RM, RW",Right,3,3,5,High/High,94.0,71.0,72.0,86.0,51.0,61.0
410,Yeray,Yeray Álvarez López,25,1995-01-24,183,78,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,80,83,26000,CB,Right,2,3,2,Medium/Medium,68.0,49.0,58.0,61.0,82.0,76.0
411,Mario Hermoso,Mario Hermoso Canseco,25,1995-06-18,184,75,Spain,Atlético Madrid,Spain Primera Division,1.0,80,83,51000,CB,Left,1,3,2,High/Medium,75.0,49.0,72.0,71.0,80.0,79.0
412,M. Ryan,Mathew Ryan,28,1992-04-08,184,82,Australia,Brighton & Hove Albion,English Premier League,1.0,80,82,53000,GK,Right,1,4,1,Medium/Medium,,,,,,
413,M. Hinteregger,Martin Hinteregger,27,1992-09-07,186,82,Austria,Eintracht Frankfurt,German 1. Bundesliga,1.0,80,82,33000,CB,Left,2,3,2,High/Medium,71.0,70.0,65.0,60.0,81.0,82.0
414,F. Bernardeschi,Federico Bernardeschi,26,1994-02-16,185,77,Italy,Juventus,Italian Serie A,1.0,80,82,81000,"CAM, RM",Left,2,3,5,High/Medium,80.0,75.0,80.0,84.0,60.0,65.0
415,G. Xhaka,Granit Xhaka,27,1992-09-27,185,80,Switzerland,Arsenal,English Premier League,1.0,80,81,80000,"CDM, CM",Left,3,3,3,Low/Medium,52.0,65.0,80.0,69.0,70.0,80.0
416,Campaña,José Ángel Gómez Campaña,27,1993-05-31,179,70,Spain,Levante UD,Spain Primera Division,1.0,80,81,31000,"CM, LM, CDM",Right,1,3,4,Medium/Medium,63.0,73.0,82.0,80.0,70.0,72.0
417,N. Schulz,Nico Schulz,27,1993-04-01,181,83,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,80,81,56000,"LB, LM, LWB",Left,1,2,3,High/Medium,87.0,51.0,74.0,75.0,73.0,75.0
418,B. Lecomte,Benjamin Lecomte,29,1991-04-26,187,78,France,AS Monaco,French Ligue 1,1.0,80,81,46000,GK,Left,2,3,1,Medium/Medium,,,,,,
419,J. Draxler,Julian Draxler,26,1993-09-20,187,77,Germany,Paris Saint-Germain,French Ligue 1,1.0,80,81,82000,"CAM, CM, LW",Right,3,5,4,Medium/Medium,75.0,76.0,80.0,82.0,55.0,63.0
420,Deulofeu,Gerard Deulofeu Lázaro,26,1994-03-13,177,73,Spain,Watford,English League Championship,2.0,80,81,25000,"LM, CF",Right,3,4,4,High/Low,88.0,75.0,75.0,86.0,30.0,65.0
421,J. Roussillon,Jérôme Roussillon,27,1993-01-06,175,80,France,VfL Wolfsburg,German 1. Bundesliga,1.0,80,81,49000,"LB, LM",Left,2,3,3,High/Medium,88.0,65.0,74.0,80.0,76.0,76.0
422,J. Tarkowski,James Tarkowski,27,1992-11-19,185,81,England,Burnley,English Premier League,1.0,80,81,59000,CB,Right,1,4,2,Medium/High,59.0,45.0,67.0,63.0,81.0,79.0
423,Iñigo Martínez,Íñigo Martínez Berridi,29,1991-05-17,182,77,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,80,81,29000,CB,Left,2,3,2,Medium/Medium,71.0,56.0,64.0,62.0,81.0,80.0
424,B. Davies,Ben Davies,27,1993-04-24,182,76,Wales,Tottenham Hotspur,English Premier League,1.0,80,81,86000,"LB, LWB",Left,2,3,3,Medium/High,73.0,58.0,75.0,75.0,78.0,74.0
425,A. Plea,Alassane Plea,27,1993-03-10,181,79,France,Borussia Mönchengladbach,German 1. Bundesliga,1.0,80,81,49000,"ST, LW",Right,2,3,4,High/Medium,73.0,83.0,77.0,79.0,39.0,74.0
426,D. Berardi,Domenico Berardi,25,1994-08-01,183,72,Italy,Sassuolo,Italian Serie A,1.0,80,81,39000,"RM, RW",Left,2,3,4,Medium/Medium,78.0,80.0,79.0,82.0,36.0,68.0
427,K. Demirbay,Kerem Demirbay,26,1993-07-03,183,74,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,80,81,68000,CM,Left,2,4,4,Medium/Medium,65.0,74.0,80.0,84.0,64.0,70.0
428,João Mário,João Mário Naval da Costa Eduardo,27,1993-01-19,179,73,Portugal,Inter,Italian Serie A,1.0,80,81,99000,"CM, CAM, LM",Right,3,4,4,Medium/Medium,69.0,69.0,80.0,83.0,64.0,67.0
429,A. Robben,Arjen Robben,36,1984-01-23,180,80,Netherlands,FC Groningen,Holland Eredivisie,1.0,80,80,12000,"RM, CAM",Left,3,2,4,Medium/Low,74.0,82.0,78.0,86.0,30.0,57.0
430,Joaquín,Joaquín Sánchez Rodríguez,38,1981-07-21,179,75,Spain,Real Betis,Spain Primera Division,1.0,80,80,22000,"LM, RM",Right,2,3,4,High/Medium,69.0,79.0,83.0,80.0,44.0,57.0
431,J. Milner,James Philip Milner,34,1986-01-04,175,70,England,Liverpool,English Premier League,1.0,80,80,94000,"CM, RB, LB",Right,2,4,3,High/High,58.0,70.0,82.0,77.0,77.0,77.0
432,Nani,Luís Carlos Almeida da Cunha,33,1986-11-17,177,70,Portugal,Orlando City SC,USA Major League Soccer,1.0,80,80,13000,"LW, RW",Right,3,5,5,High/Medium,72.0,76.0,79.0,85.0,37.0,67.0
433,I. Akinfeev,Igor Akinfeev,34,1986-04-08,186,78,Russia,PFC CSKA Moscow,Russian Premier League,1.0,80,80,500,GK,Right,3,3,1,Medium/Medium,,,,,,
434,B. Gomis,Bafétimbi Fredius Gomis,34,1985-08-06,184,77,France,Al Hilal,Saudi Abdul L. Jameel League,1.0,80,80,53000,ST,Right,3,3,3,High/Low,67.0,82.0,67.0,76.0,36.0,74.0
435,F. Quagliarella,Fabio Quagliarella,37,1983-01-31,180,79,Italy,Sampdoria,Italian Serie A,1.0,80,80,22000,ST,Right,2,4,4,Medium/Medium,64.0,85.0,75.0,80.0,30.0,63.0
436,M. Dembélé,Mousa Sidi Yaya Dembélé,32,1987-07-16,185,85,Belgium,Guangzhou R&F FC,Chinese Super League,1.0,80,80,22000,"CM, CAM, CDM",Left,3,2,4,High/High,73.0,68.0,77.0,87.0,73.0,79.0
437,Falcao,Radamel Falcao García Zárate,34,1986-02-10,177,72,Colombia,Galatasaray SK,Turkish Süper Lig,1.0,80,80,81000,ST,Right,3,4,3,High/Medium,64.0,80.0,69.0,76.0,43.0,69.0
438,Miranda,João Miranda de Souza Filho,35,1984-09-07,186,80,Brazil,Jiangsu Suning FC,Chinese Super League,1.0,80,80,18000,CB,Right,3,3,3,Medium/Medium,65.0,49.0,66.0,69.0,81.0,77.0
439,J. Evans,Jonny Evans,32,1988-01-03,188,77,Northern Ireland,Leicester City,English Premier League,1.0,80,80,80000,CB,Right,2,4,2,Medium/High,57.0,32.0,61.0,54.0,82.0,75.0
440,E. Lamela,Erik Lamela,28,1992-03-04,184,80,Argentina,Tottenham Hotspur,English Premier League,1.0,80,80,98000,"RM, CAM",Left,2,2,4,High/High,75.0,78.0,80.0,83.0,55.0,71.0
441,Raúl García,Raúl García Escudero,33,1986-07-11,184,83,Spain,Athletic Club de Bilbao,Spain Primera Division,1.0,80,80,33000,"ST, CAM, RW",Right,2,3,3,Medium/Medium,46.0,83.0,81.0,78.0,72.0,83.0
442,D. Wass,Daniel Wass,31,1989-05-31,181,74,Denmark,Valencia CF,Spain Primera Division,1.0,80,80,38000,"RB, RM, CM",Right,2,3,3,High/Medium,75.0,77.0,80.0,77.0,77.0,76.0
443,S. Romero,Sergio Germán Romero,33,1987-02-22,192,86,Argentina,Manchester United,English Premier League,1.0,80,80,85000,GK,Right,3,3,1,Medium/Medium,,,,,,
444,L. Piszczek,Łukasz Piszczek,35,1985-06-03,184,79,Poland,Borussia Dortmund,German 1. Bundesliga,1.0,80,80,41000,"CB, RB",Right,3,4,2,High/Medium,72.0,68.0,74.0,72.0,81.0,78.0
445,Nacho Monreal,Ignacio Monreal Eraso,34,1986-02-26,180,77,Spain,Real Sociedad,Spain Primera Division,1.0,80,80,32000,LB,Left,2,3,3,Medium/Medium,67.0,61.0,72.0,74.0,80.0,68.0
446,Adán,Antonio Adán Garrido,33,1987-05-13,190,92,Spain,Sporting CP,Portuguese Liga ZON SAGRES,1.0,80,80,13000,GK,Left,2,2,1,Medium/Medium,,,,,,
447,B. Ivanović,Branislav Ivanović,36,1984-02-22,185,91,Serbia,West Bromwich Albion,English Premier League,1.0,80,80,61000,"CB, RB",Right,3,3,2,High/Medium,62.0,61.0,68.0,61.0,81.0,83.0
448,S. Kjær,Simon Thorup Kjær,31,1989-03-26,191,82,Denmark,Milan,Italian Serie A,1.0,80,80,43000,CB,Right,3,3,2,Low/High,61.0,55.0,64.0,55.0,81.0,75.0
449,Diego Costa,Diego da Silva Costa,31,1988-10-07,188,83,Spain,Atlético Madrid,Spain Primera Division,1.0,80,80,63000,ST,Right,4,4,2,High/Medium,73.0,79.0,65.0,74.0,48.0,86.0
450,David Luiz,David Luiz Moreira Marinho,33,1987-04-22,189,86,Brazil,Arsenal,English Premier League,1.0,80,80,80000,CB,Right,4,3,3,Medium/Medium,60.0,65.0,74.0,71.0,79.0,77.0
451,S. Giovinco,Sebastian Giovinco,33,1987-01-26,163,61,Italy,Al Hilal,Saudi Abdul L. Jameel League,1.0,80,80,49000,"CAM, CF",Right,2,4,4,High/Medium,80.0,77.0,78.0,86.0,27.0,56.0
452,A. Sánchez,Alexis Alejandro Sánchez Sánchez,31,1988-12-19,168,62,Chile,Inter,Italian Serie A,1.0,80,80,105000,"LW, LM",Right,4,3,4,High/High,79.0,78.0,77.0,85.0,44.0,70.0
453,Giuliano,Giuliano Victor de Paula,30,1990-05-31,172,68,Brazil,Al Nassr,Saudi Abdul L. Jameel League,1.0,80,80,49000,CAM,Right,2,3,4,High/Medium,79.0,76.0,77.0,81.0,46.0,75.0
454,Luiz Gustavo,Luiz Gustavo Dias,32,1987-07-23,187,78,Brazil,Fenerbahçe SK,Turkish Süper Lig,1.0,80,80,68000,"CDM, CB",Left,3,3,3,Medium/High,57.0,60.0,69.0,69.0,78.0,82.0
455,L. Stindl,Lars Stindl,31,1988-08-26,181,80,Germany,Borussia Mönchengladbach,German 1. Bundesliga,1.0,80,80,45000,"CAM, ST",Right,2,4,4,Medium/Medium,59.0,82.0,78.0,79.0,59.0,72.0
456,N. Nkoulou,Nicolas N'Koulou,30,1990-03-27,184,77,Cameroon,Torino,Italian Serie A,1.0,80,80,48000,CB,Right,3,3,2,Medium/Medium,70.0,44.0,64.0,70.0,82.0,73.0
457,G. Bonaventura,Giacomo Bonaventura,30,1989-08-22,181,75,Italy,Fiorentina,Italian Serie A,1.0,80,80,61000,CM,Right,3,3,4,High/Medium,72.0,77.0,82.0,82.0,72.0,67.0
458,F. Coquelin,Francis Coquelin,29,1991-05-13,176,74,France,Villarreal CF,Spain Primera Division,1.0,80,80,41000,"CM, CDM",Right,2,3,3,Medium/High,71.0,67.0,76.0,80.0,79.0,81.0
459,Hulk,Givanildo Vieira de Souza,33,1986-07-25,180,85,Brazil,Shanghai SIPG FC,Chinese Super League,1.0,80,80,20000,"RW, ST",Left,4,3,4,High/Low,80.0,82.0,77.0,81.0,46.0,86.0
460,Pedro,Pedro Eliezer Rodríguez Ledesma,32,1987-07-28,169,67,Spain,Roma,Italian Serie A,1.0,80,80,64000,"RW, LW",Right,3,5,4,High/High,73.0,76.0,76.0,81.0,43.0,50.0
461,Guaita,Vicente Guaita Panadero,33,1987-01-10,190,80,Spain,Crystal Palace,English Premier League,1.0,80,80,48000,GK,Right,2,3,1,Medium/Medium,,,,,,
462,L. de Jong,Luuk de Jong,29,1990-08-27,188,86,Netherlands,Sevilla FC,Spain Primera Division,1.0,80,80,38000,ST,Right,2,5,2,Medium/High,55.0,78.0,70.0,69.0,50.0,76.0
463,A. Ljajić,Adem Ljajić,28,1991-09-29,182,74,Serbia,Beşiktaş JK,Turkish Süper Lig,1.0,80,80,77000,"CAM, LW",Right,2,4,4,High/Low,78.0,75.0,80.0,84.0,37.0,61.0
464,Illarramendi,Asier Illarramendi Andonegi,30,1990-03-08,179,74,Spain,Real Sociedad,Spain Primera Division,1.0,80,80,32000,"CDM, CM",Right,2,3,3,Medium/High,52.0,71.0,78.0,78.0,77.0,69.0
465,B. André,Benjamin André,29,1990-08-03,180,74,France,LOSC Lille,French Ligue 1,1.0,80,80,42000,"CDM, CM",Right,2,3,3,High/High,68.0,64.0,74.0,75.0,79.0,84.0
466,N. Matić,Nemanja Matić,31,1988-08-01,194,83,Serbia,Manchester United,English Premier League,1.0,80,80,105000,"CDM, CM",Left,3,3,3,Low/Medium,44.0,68.0,76.0,73.0,80.0,77.0
467,Ricardo Goulart,Ricardo Goulart Pereira,29,1991-06-05,181,80,China PR,Hebei China Fortune FC,Chinese Super League,1.0,80,80,23000,"CF, CAM, ST",Right,2,4,4,High/Medium,81.0,78.0,77.0,79.0,41.0,70.0
